Date,Serial,note,PH2.0,PH2.1A,PH2.1B,PH2.1C
14/10/2016, 00230027 3435510B 38393730,BETA,,,1,
14/10/2016, 0027003C 34355108 38393730,BETA,,,1,
14/10/2016, 002B0026 3435510A 38393730,BETA,,,1,
14/10/2016, 00360027 3435510B 38393730,BETA,,,1,
14/10/2016, 00390026 3435510A 38393730,BETA,,,1,
14/10/2016, 003E0026 3435510B 38393730,BETA,,,1,
14/10/2016, 003E003D 34355108 38393730,BETA,,,1,
14/10/2016, 00400046 3435510B 38393730,BETA,,,1,
14/10/2016, 00430026 3435510B 38393730,BETA,,,1,
14/10/2016, 004F0026 3435510B 38393730,BETA,,,1,
17/10/2016, 001B0033 3435510E 38393730,BETA,,,1,
17/10/2016, 001C002F 3435510E 38393730,BETA,,,1,
17/10/2016, 001C0035 34355111 38393730,BETA,,,1,
17/10/2016, 001D0033 34355111 38393730,BETA,,,1,
17/10/2016, 001E002B 34355111 38393730,BETA,,,1,
17/10/2016, 0020002C 34355111 38393730,BETA,,,1,
17/10/2016, 0021002C 34355111 38393730,BETA,,,1,
17/10/2016, 00210035 34355111 38393730,BETA,,,1,
17/10/2016, 0022003D 3435510F 38393730,BETA,,,1,
17/10/2016, 0023003A 3435510C 38393730,BETA,,,1,
17/10/2016, 0023003B 34355108 38393730,BETA,,,1,
17/10/2016, 00240026 3435510A 38393730,BETA,,,1,
17/10/2016, 00240038 34355107 38393730,BETA,,,1,
17/10/2016, 0024003C 34355108 38393730,BETA,,,1,
17/10/2016, 0024003F 34355111 38393730,BETA,,,1,
17/10/2016, 0024003F 34355112 38393730,BETA,,,1,
17/10/2016, 00250026 3435510A 38393730,BETA,,,1,
17/10/2016, 00250035 3435510A 38393730,BETA,,,1,
17/10/2016, 00250036 34355107 38393730,BETA,,,1,
17/10/2016, 00260033 3435510B 38393730,BETA,,,1,
17/10/2016, 0026003C 3435510C 38393730,BETA,,,1,
17/10/2016, 0027002C 34355111 38393730,BETA,,,1,
17/10/2016, 00270036 34355107 38393730,BETA,,,1,
17/10/2016, 00270040 3435510B 38393730,BETA,,,1,
17/10/2016, 0028001C 3435510A 38393730,BETA,,,1,
17/10/2016, 0028001F 34355107 38393730,BETA,,,1,
17/10/2016, 0028003C 34355108 38393730,BETA,,,1,
17/10/2016, 00280040 3435510B 38393730,BETA,,,1,
17/10/2016, 0029001C 3435510A 38393730,BETA,,,1,
17/10/2016, 00290027 3435510B 38393730,BETA,,,1,
17/10/2016, 00290027 3435510F 38393730,BETA,,,1,
17/10/2016, 0029002C 34355111 38393730,BETA,,,1,
17/10/2016, 00290039 34355111 38393730,BETA,,,1,
17/10/2016, 002A0027 34355111 38393730,BETA,,,1,
17/10/2016, 002A002C 34355111 38393730,BETA,,,1,
17/10/2016, 002B0032 34355109 38393730,BETA,,,1,
17/10/2016, 002B0036 34355107 38393730,BETA,,,1,
17/10/2016, 002C001B 3435510A 38393730,BETA,,,1,
17/10/2016, 002C0022 34355111 38393730,BETA,,,1,
17/10/2016, 002C0023 34355111 38393730,BETA,,,1,
17/10/2016, 002C0033 34355111 38393730,BETA,,,1,
17/10/2016, 002D001A 3435510A 38393730,BETA,,,1,
17/10/2016, 002D0027 3435510C 38393730,BETA,,,1,
17/10/2016, 002D002B 3435510E 38393730,BETA,,,1,
17/10/2016, 002D003B 34355111 38393730,BETA,,,1,
17/10/2016, 002D003D 34355111 38393730,BETA,,,1,
17/10/2016, 002E0038 34355107 38393730,BETA,,,1,
17/10/2016, 002E003E 34355107 38393730,BETA,,,1,
17/10/2016, 002E0040 3435510B 38393730,BETA,,,1,
17/10/2016, 002F001B 3435510A 38393730,BETA,,,1,
17/10/2016, 002F0026 34355112 38393730,BETA,,,1,
17/10/2016, 002F0038 34355107 38393730,BETA,,,1,
17/10/2016, 002F0040 3435510B 38393730,BETA,,,1,
17/10/2016, 00300019 3435510A 38393730,BETA,,,1,
17/10/2016, 0030001F 3435510E 38393730,BETA,,,1,
17/10/2016, 00300033 34355111 38393730,BETA,,,1,
17/10/2016, 00300034 34355111 38393730,BETA,,,1,
17/10/2016, 00300038 34355107 38393730,BETA,,,1,
17/10/2016, 00310032 34355109 38393730,BETA,,,1,
17/10/2016, 00310038 34355107 38393730,BETA,,,1,
17/10/2016, 0032001B 3435510A 38393730,BETA,,,1,
17/10/2016, 00320023 3435510F 38393730,BETA,,,1,
17/10/2016, 0032002C 34355111 38393730,BETA,,,1,
17/10/2016, 0032002E 3435510E 38393730,BETA,,,1,
17/10/2016, 00330047 3435510B 38393730,BETA,,,1,
17/10/2016, 0034003E 34355107 38393730,BETA,,,1,
17/10/2016, 00340040 3435510B 38393730,BETA,,,1,
17/10/2016, 00350026 3435510A 38393730,BETA,,,1,
17/10/2016, 0035002C 34355111 38393730,BETA,,,1,
17/10/2016, 00350032 34355112 38393730,BETA,,,1,
17/10/2016, 00350039 34355111 38393730,BETA,,,1,
17/10/2016, 0035003D 34355108 38393730,BETA,,,1,
17/10/2016, 00350042 3435510E 38393730,BETA,,,1,
17/10/2016, 00360029 3435510A 38393730,BETA,,,1,
17/10/2016, 0036002D 34355112 38393730,BETA,,,1,
17/10/2016, 0036002F 34355112 38393730,BETA,,,1,
17/10/2016, 00370027 3435510B 38393730,BETA,,,1,
17/10/2016, 0037002F 34355112 38393730,BETA,,,1,
17/10/2016, 00370033 3435510B 38393730,BETA,,,1,
17/10/2016, 0038001C 3435510E 38393730,BETA,,,1,
17/10/2016, 0038003D 34355108 38393730,BETA,,,1,
17/10/2016, 00380046 3435510B 38393730,BETA,,,1,
17/10/2016, 00380047 3435510B 38393730,BETA,,,1,
17/10/2016, 0039003C 34355108 38393730,BETA,,,1,
17/10/2016, 0039003E 34355108 38393730,BETA,,,1,
17/10/2016, 00390046 3435510B 38393730,BETA,,,1,
17/10/2016, 00390047 3435510B 38393730,BETA,,,1,
17/10/2016, 003A002D 34355111 38393730,BETA,,,1,
17/10/2016, 003A0041 34355111 38393730,BETA,,,1,
17/10/2016, 003A0044 3435510C 38393730,BETA,,,1,
17/10/2016, 003C0026 3435510A 38393730,BETA,,,1,
17/10/2016, 003C0039 3435510E 38393730,BETA,,,1,
17/10/2016, 003C003E 34355108 38393730,BETA,,,1,
17/10/2016, 003C003F 3435510F 38393730,BETA,,,1,
17/10/2016, 003D001C 3435510F 38393730,BETA,,,1,
17/10/2016, 003D0033 3435510F 38393730,BETA,,,1,
17/10/2016, 003D0041 3435510E 38393730,BETA,,,1,
17/10/2016, 003E0039 3435510E 38393730,BETA,,,1,
17/10/2016, 003F001F 3435510E 38393730,BETA,,,1,
17/10/2016, 003F003C 3435510F 38393730,BETA,,,1,
17/10/2016, 003F003F 34355107 38393730,BETA,,,1,
17/10/2016, 00400027 3435510A 38393730,BETA,,,1,
17/10/2016, 00400037 34355107 38393730,BETA,,,1,
17/10/2016, 0041003A 3435510C 38393730,BETA,,,1,
17/10/2016, 00420031 3435510C 38393730,BETA,,,1,
17/10/2016, 00420039 34355107 38393730,BETA,,,1,
17/10/2016, 00430042 34355111 38393730,BETA,,,1,
17/10/2016, 00430045 34355112 38393730,BETA,,,1,
17/10/2016, 00440026 3435510B 38393730,BETA,,,1,
17/10/2016, 0045001E 3435510F 38393730,BETA,,,1,
17/10/2016, 0046003E 3435510B 38393730,BETA,,,1,
17/10/2016, 00470029 3435510A 38393730,BETA,,,1,
17/10/2016, 00480026 3435510B 38393730,BETA,,,1,
17/10/2016, 0049002C 3435510C 38393730,BETA,,,1,
17/10/2016, 0049003E 34355108 38393730,BETA,,,1,
17/10/2016, 0049003F 3435510B 38393730,BETA,,,1,
17/10/2016, 00490042 34355111 38393730,BETA,,,1,
17/10/2016, 004A0022 3435510E 38393730,BETA,,,1,
17/10/2016, 004A0039 34355107 38393730,BETA,,,1,
17/10/2016, 004B0022 34355111 38393730,BETA,,,1,
17/10/2016, 004C003E 34355108 38393730,BETA,,,1,
17/10/2016, 004C003F 3435510B 38393730,BETA,,,1,
17/10/2016, 004D0020 34355107 38393730,BETA,,,1,
17/10/2016, 004D002E 3435510C 38393730,BETA,,,1,
17/10/2016, 004D0037 34355107 38393730,BETA,,,1,
17/10/2016, 004E0029 3435510A 38393730,BETA,,,1,
17/10/2016, 004E002B 34355111 38393730,BETA,,,1,
17/10/2016, 004E003D 3435510F 38393730,BETA,,,1,
17/10/2016, 004F002B 34355111 38393730,BETA,,,1,
17/10/2016, 004F0037 34355107 38393730,BETA,,,1,
17/10/2016, 004F0039 34355107 38393730,BETA,,,1,
17/10/2016, 0050002F 3435510C 38393730,BETA,,,1,
17/10/2016, 00500039 34355107 38393730,BETA,,,1,
17/10/2016, 00510033 34355112 38393730,BETA,,,1,
17/10/2016, 00510038 34355107 38393730,BETA,,,1,
17/10/2016, 00530030 3435510C 38393730,BETA,,,1,
17/10/2016, 00540033 34355111 38393730,BETA,,,1,
17/10/2016, 0055002C 34355111 38393730,BETA,,,1,
18/10/2016, 001C0036 34355107 38393730,BETA,,,1,
18/10/2016, 001F0026 34355111 38393730,BETA,,,1,
18/10/2016, 001F0036 3435510A 38393730,BETA,,,1,
18/10/2016, 001F0038 34355107 38393730,BETA,,,1,
18/10/2016, 00200036 34355107 38393730,BETA,,,1,
18/10/2016, 00210036 34355107 38393730,BETA,,,1,
18/10/2016, 00210039 3435510F 38393730,BETA,,,1,
18/10/2016, 00220036 34355107 38393730,BETA,,,1,
18/10/2016, 00220038 34355107 38393730,BETA,,,1,
18/10/2016, 00230025 34355111 38393730,BETA,,,1,
18/10/2016, 0023003A 34355108 38393730,BETA,,,1,
18/10/2016, 00240029 34355112 38393730,BETA,,,1,
18/10/2016, 00240036 34355107 38393730,BETA,,,1,
18/10/2016, 0024003B 34355108 38393730,BETA,,,1,
18/10/2016, 0024003E 3435510C 38393730,BETA,,,1,
18/10/2016, 0024003F 3435510B 38393730,BETA,,,1,
18/10/2016, 00250038 34355107 38393730,BETA,,,1,
18/10/2016, 00260020 34355112 38393730,BETA,,,1,
18/10/2016, 00260040 3435510B 38393730,BETA,,,1,
18/10/2016, 00270024 34355112 38393730,BETA,,,1,
18/10/2016, 00270038 34355107 38393730,BETA,,,1,
18/10/2016, 00270039 3435510F 38393730,BETA,,,1,
18/10/2016, 0028003D 3435510C 38393730,BETA,,,1,
18/10/2016, 002A0040 3435510B 38393730,BETA,,,1,
18/10/2016, 002B001D 34355112 38393730,BETA,,,1,
18/10/2016, 002B0038 34355107 38393730,BETA,,,1,
18/10/2016, 002C0027 3435510B 38393730,BETA,,,1,
18/10/2016, 002C0038 34355107 38393730,BETA,,,1,
18/10/2016, 002D002C 34355111 38393730,BETA,,,1,
18/10/2016, 002E0032 34355109 38393730,BETA,,,1,
18/10/2016, 002E0033 34355111 38393730,BETA,,,1,
18/10/2016, 002E0035 3435510A 38393730,BETA,,,1,
18/10/2016, 002E0038 3435510A 38393730,BETA,,,1,
18/10/2016, 002F0027 3435510B 38393730,BETA,,,1,
18/10/2016, 002F002C 34355111 38393730,BETA,,,1,
18/10/2016, 0030002C 34355111 38393730,BETA,,,1,
18/10/2016, 00300033 3435510B 38393730,BETA,,,1,
18/10/2016, 0030003F 34355112 38393730,BETA,,,1,
18/10/2016, 0031001B 3435510E 38393730,BETA,,,1,
18/10/2016, 00310024 34355111 38393730,BETA,,,1,
18/10/2016, 0031002C 34355111 38393730,BETA,,,1,
18/10/2016, 00320026 3435510A 38393730,BETA,,,1,
18/10/2016, 00320036 34355107 38393730,BETA,,,1,
18/10/2016, 00330027 3435510C 38393730,BETA,,,1,
18/10/2016, 00330032 34355109 38393730,BETA,,,1,
18/10/2016, 00330038 34355107 38393730,BETA,,,1,
18/10/2016, 0033003F 34355108 38393730,BETA,,,1,
18/10/2016, 00330040 34355111 38393730,BETA,,,1,
18/10/2016, 00340027 3435510C 38393730,BETA,,,1,
18/10/2016, 00350034 3435510C 38393730,BETA,,,1,
18/10/2016, 00360034 3435510F 38393730,BETA,,,1,
18/10/2016, 00360047 3435510B 38393730,BETA,,,1,
18/10/2016, 00360047 3435510F 38393730,BETA,,,1,
18/10/2016, 0037001B 3435510A 38393730,BETA,,,1,
18/10/2016, 00370026 3435510B 38393730,BETA,,,1,
18/10/2016, 00370028 3435510E 38393730,BETA,,,1,
18/10/2016, 00370032 34355109 38393730,BETA,,,1,
18/10/2016, 00370038 3435510A 38393730,BETA,,,1,
18/10/2016, 00380027 3435510A 38393730,BETA,,,1,
18/10/2016, 0038003E 34355107 38393730,BETA,,,1,
18/10/2016, 00390019 3435510A 38393730,BETA,,,1,
18/10/2016, 0039003C 3435510C 38393730,BETA,,,1,
18/10/2016, 003A0018 3435510A 38393730,BETA,,,1,
18/10/2016, 003A0047 3435510B 38393730,BETA,,,1,
18/10/2016, 003B0019 3435510A 38393730,BETA,,,1,
18/10/2016, 003B0031 3435510A 38393730,BETA,,,1,
18/10/2016, 003B003E 34355108 38393730,BETA,,,1,
18/10/2016, 003B0046 3435510B 38393730,BETA,,,1,
18/10/2016, 003B0047 3435510B 38393730,BETA,,,1,
18/10/2016, 003C001E 34355112 38393730,BETA,,,1,
18/10/2016, 003D0023 34355112 38393730,BETA,,,1,
18/10/2016, 003D0032 34355111 38393730,BETA,,,1,
18/10/2016, 003D0037 34355107 38393730,BETA,,,1,
18/10/2016, 003D003E 34355108 38393730,BETA,,,1,
18/10/2016, 003E0019 3435510A 38393730,BETA,,,1,
18/10/2016, 003E0038 3435510A 38393730,BETA,,,1,
18/10/2016, 003E0046 3435510B 38393730,BETA,,,1,
18/10/2016, 003E0047 3435510B 38393730,BETA,,,1,
18/10/2016, 003F0037 34355107 38393730,BETA,,,1,
18/10/2016, 003F0038 3435510A 38393730,BETA,,,1,
18/10/2016, 003F003E 34355108 38393730,BETA,,,1,
18/10/2016, 00400034 3435510E 38393730,BETA,,,1,
18/10/2016, 00420025 3435510C 38393730,BETA,,,1,
18/10/2016, 00420026 3435510B 38393730,BETA,,,1,
18/10/2016, 00430022 3435510F 38393730,BETA,,,1,
18/10/2016, 0044001D 3435510E 38393730,BETA,,,1,
18/10/2016, 00450029 3435510A 38393730,BETA,,,1,
18/10/2016, 00450035 3435510C 38393730,BETA,,,1,
18/10/2016, 00460031 34355112 38393730,BETA,,,1,
18/10/2016, 00460037 34355107 38393730,BETA,,,1,
18/10/2016, 0046003D 34355108 38393730,BETA,,,1,
18/10/2016, 00460041 3435510B 38393730,BETA,,,1,
18/10/2016, 0048003E 34355108 38393730,BETA,,,1,
18/10/2016, 00490036 3435510E 38393730,BETA,,,1,
18/10/2016, 00490037 34355107 38393730,BETA,,,1,
18/10/2016, 00490039 34355107 38393730,BETA,,,1,
18/10/2016, 004A0037 34355107 38393730,BETA,,,1,
18/10/2016, 004A003E 3435510B 38393730,BETA,,,1,
18/10/2016, 004B002B 34355111 38393730,BETA,,,1,
18/10/2016, 004B0040 3435510F 38393730,BETA,,,1,
18/10/2016, 004C003D 34355111 38393730,BETA,,,1,
18/10/2016, 004D003F 3435510B 38393730,BETA,,,1,
18/10/2016, 004F0038 34355107 38393730,BETA,,,1,
18/10/2016, 00510024 3435510C 38393730,BETA,,,1,
18/10/2016, 00510024 3435510F 38393730,BETA,,,1,
18/10/2016, 00510028 34355112 38393730,BETA,,,1,
18/10/2016, 00510034 3435510F 38393730,BETA,,,1,
18/10/2016, 0051003B 34355112 38393730,BETA,,,1,
18/10/2016, 00520039 34355107 38393730,BETA,,,1,
18/10/2016, 00530036 34355107 38393730,BETA,,,1,
18/10/2016, 00530037 34355107 38393730,BETA,,,1,
19/10/2016, 001C0034 34355111 38393730,BETA,,,1,
19/10/2016, 001D002A 34355112 38393730,BETA,,,1,
19/10/2016, 001E0028 3435510C 38393730,BETA,,,1,
19/10/2016, 001E0036 3435510A 38393730,BETA,,,1,
19/10/2016, 001F0032 34355111 38393730,BETA,,,1,
19/10/2016, 00200036 3435510A 38393730,BETA,,,1,
19/10/2016, 00210027 3435510C 38393730,BETA,,,1,
19/10/2016, 0021002E 3435510A 38393730,BETA,,,1,
19/10/2016, 00210034 3435510A 38393730,BETA,,,1,
19/10/2016, 00210035 3435510F 38393730,BETA,,,1,
19/10/2016, 00210036 3435510A 38393730,BETA,,,1,
19/10/2016, 00220028 3435510C 38393730,BETA,,,1,
19/10/2016, 0022002B 3435510F 38393730,BETA,,,1,
19/10/2016, 00220034 34355111 38393730,BETA,,,1,
19/10/2016, 0022003F 34355108 38393730,BETA,,,1,
19/10/2016, 00230036 3435510A 38393730,BETA,,,1,
19/10/2016, 00230039 3435510F 38393730,BETA,,,1,
19/10/2016, 00240025 34355111 38393730,BETA,,,1,
19/10/2016, 00240026 3435510F 38393730,BETA,,,1,
19/10/2016, 00240039 3435510F 38393730,BETA,,,1,
19/10/2016, 0025001E 34355112 38393730,BETA,,,1,
19/10/2016, 00250027 3435510B 38393730,BETA,,,1,
19/10/2016, 00250027 3435510C 38393730,BETA,,,1,
19/10/2016, 0025003B 3435510B 38393730,BETA,,,1,
19/10/2016, 0025003C 34355108 38393730,BETA,,,1,
19/10/2016, 0025003F 34355108 38393730,BETA,,,1,
19/10/2016, 00250040 34355108 38393730,BETA,,,1,
19/10/2016, 00260025 34355111 38393730,BETA,,,1,
19/10/2016, 00260026 34355111 38393730,BETA,,,1,
19/10/2016, 00260027 3435510B 38393730,BETA,,,1,
19/10/2016, 00260039 3435510F 38393730,BETA,,,1,
19/10/2016, 0026003F 34355108 38393730,BETA,,,1,
19/10/2016, 00270028 3435510C 38393730,BETA,,,1,
19/10/2016, 0027002C 34355109 38393730,BETA,,,1,
19/10/2016, 00270033 3435510A 38393730,BETA,,,1,
19/10/2016, 00270034 3435510A 38393730,BETA,,,1,
19/10/2016, 00270035 3435510A 38393730,BETA,,,1,
19/10/2016, 0027003F 34355108 38393730,BETA,,,1,
19/10/2016, 00280026 3435510A 38393730,BETA,,,1,
19/10/2016, 00280033 34355111 38393730,BETA,,,1,
19/10/2016, 00280034 3435510A 38393730,BETA,,,1,
19/10/2016, 00280036 3435510A 38393730,BETA,,,1,
19/10/2016, 00280040 34355108 38393730,BETA,,,1,
19/10/2016, 0029002E 3435510A 38393730,BETA,,,1,
19/10/2016, 00290033 34355111 38393730,BETA,,,1,
19/10/2016, 00290040 34355108 38393730,BETA,,,1,
19/10/2016, 002A001C 3435510A 38393730,BETA,,,1,
19/10/2016, 002A001C 3435510E 38393730,BETA,,,1,
19/10/2016, 002A0027 3435510B 38393730,BETA,,,1,
19/10/2016, 002A0028 3435510C 38393730,BETA,,,1,
19/10/2016, 002B001C 3435510A 38393730,BETA,,,1,
19/10/2016, 002B0033 34355111 38393730,BETA,,,1,
19/10/2016, 002B0036 3435510A 38393730,BETA,,,1,
19/10/2016, 002B0039 3435510F 38393730,BETA,,,1,
19/10/2016, 002B003A 34355108 38393730,BETA,,,1,
19/10/2016, 002B003C 34355108 38393730,BETA,,,1,
19/10/2016, 002C001B 34355112 38393730,BETA,,,1,
19/10/2016, 002C001C 34355107 38393730,BETA,,,1,
19/10/2016, 002C001C 3435510A 38393730,BETA,,,1,
19/10/2016, 002C0026 3435510A 38393730,BETA,,,1,
19/10/2016, 002C0026 34355111 38393730,BETA,,,1,
19/10/2016, 002C0036 3435510A 38393730,BETA,,,1,
19/10/2016, 002C003C 34355108 38393730,BETA,,,1,
19/10/2016, 002C003F 34355108 38393730,BETA,,,1,
19/10/2016, 002D001B 34355107 38393730,BETA,,,1,
19/10/2016, 002D001C 34355112 38393730,BETA,,,1,
19/10/2016, 002D0025 34355111 38393730,BETA,,,1,
19/10/2016, 002D0026 3435510A 38393730,BETA,,,1,
19/10/2016, 002D0034 3435510A 38393730,BETA,,,1,
19/10/2016, 002D003F 34355111 38393730,BETA,,,1,
19/10/2016, 002E001C 3435510A 38393730,BETA,,,1,
19/10/2016, 002E0025 3435510C 38393730,BETA,,,1,
19/10/2016, 002E0034 34355111 38393730,BETA,,,1,
19/10/2016, 002E003C 34355108 38393730,BETA,,,1,
